State Name,UVP0,UVP1,readPage,Pok,SMBAlert,Vmain,UVPbitNoPage
OFF,0,0,00,(-0.1- 1),(3- 3.6),(-0.1- 1),0
1,0,0,00,(-0.1- 1),(3- 3.6),(-0.1- 1),0
2,0,0,01,(-0.1- 1),(3- 3.6),(-0.1- 1),0
3,0,0,01,(-0.1- 1),(3- 3.6),(-0.1- 1),0
REGAC,0,0,01,(-0.1- 1),(3- 3.6),(-0.1- 1),0
5,0,0,01,(-0.1- 1),(3- 3.6),(-0.1- 1),0
6,0,0,01,(-0.1- 1),(3- 3.6),(-0.1- 1),0
REGPSON,0,0,01,(-0.1- 1),(3- 3.6),(-0.1- 1),0
8,0,0,01,(-0.1- 1),(3- 3.6),(-0.1- 1),0
REG,0,0,01,(3- 3.6),(3- 3.6),(11.8- 12.6),0
10,1,1,01,(-0.1- 1),(-0.1- 1),(-0.1- 1),1
11,1,1,01,(-0.1- 1),(-0.1- 1),(-0.1- 1),1
12,1,0,01,(-0.1- 1),(3- 3.6),(-0.1- 1),0
13,1,0,01,(-0.1- 1),(-0.1- 1),(-0.1- 1),0
14,1,0,01,(-0.1- 1),(-0.1- 1),(-0.1- 1),0
15,1,0,01,(-0.1- 1),(3- 3.6),(-0.1- 1),0
16,0,0,01,(-0.1- 1),(3- 3.6),(-0.1- 1),0
17,0,0,01,(-0.1- 1),(3- 3.6),(-0.1- 1),0
18,0,0,01,(-0.1- 1),(3- 3.6),(-0.1- 1),0
19,0,0,01,(-0.1- 1),(3- 3.6),(-0.1- 1),0
20,0,0,01,(-0.1- 1),(3- 3.6),(-0.1- 1),0
21,0,0,01,(-0.1- 1),(3- 3.6),(-0.1- 1),0
22,0,0,01,(3- 3.6),(3- 3.6),(11.8- 12.6),0
23,1,1,01,(-0.1- 1),(3- 3.6),(-0.1- 1),1
24,1,1,01,(-0.1- 1),(3- 3.6),(-0.1- 1),1
25,0,1,01,(-0.1- 1),(3- 3.6),(-0.1- 1),1
26,0,1,01,(-0.1- 1),(3- 3.6),(-0.1- 1),1
27,0,1,00,(-0.1- 1),(3- 3.6),(-0.1- 1),0
28,0,0,00,(-0.1- 1),(3- 3.6),(-0.1- 1),0
29,0,0,00,(-0.1- 1),(3- 3.6),(-0.1- 1),0
30,0,0,00,(-0.1- 1),(3- 3.6),(-0.1- 1),0
31,0,0,00,(-0.1- 1),(3- 3.6),(-0.1- 1),0
32,0,0,00,(3- 3.6),(3- 3.6),(11.8- 12.6),0
33,0,0,00,(-0.1- 1),(3- 3.6),(-0.1- 1),0
34,0,0,00,(-0.1- 1),(3- 3.6),(-0.1- 1),0
35,0,0,00,(3- 3.6),(3- 3.6),(11.8- 12.6),0
36,1,1,00,(-0.1- 1),(3- 3.6),(-0.1- 1),1
37,1,1,00,(-0.1- 1),(3- 3.6),(-0.1- 1),1
38,1,0,00,(-0.1- 1),(3- 3.6),(-0.1- 1),1
39,1,0,00,(-0.1- 1),(-0.1- 1),(-0.1- 1),1
40,1,0,00,(-0.1- 1),(-0.1- 1),(-0.1- 1),1
41,1,0,01,(-0.1- 1),(-0.1- 1),(-0.1- 1),0
42,1,0,01,(-0.1- 1),(3- 3.6),(-0.1- 1),0
43,0,0,01,(-0.1- 1),(3- 3.6),(-0.1- 1),0
44,0,0,01,(-0.1- 1),(3- 3.6),(-0.1- 1),0
45,0,0,01,(-0.1- 1),(3- 3.6),(-0.1- 1),0
46,0,0,01,(-0.1- 1),(3- 3.6),(-0.1- 1),0
47,0,0,01,(-0.1- 1),(3- 3.6),(-0.1- 1),0
48,0,0,01,(-0.1- 1),(3- 3.6),(-0.1- 1),0
49,0,0,01,(-0.1- 1),(3- 3.6),(-0.1- 1),0
50,0,0,01,(-0.1- 1),(3- 3.6),(-0.1- 1),0
51,0,0,01,(3- 3.6),(3- 3.6),(11.8- 12.6),0
52,1,1,01,(-0.1- 1),(-0.1- 1),(-0.1- 1),1
53,1,1,01,(-0.1- 1),(-0.1- 1),(-0.1- 1),1
54,1,1,00,(-0.1- 1),(-0.1- 1),(-0.1- 1),1
55,1,1,00,(-0.1- 1),(-0.1- 1),(-0.1- 1),1
56,1,1,01,(-0.1- 1),(-0.1- 1),(-0.1- 1),1
57,1,1,01,(-0.1- 1),(3- 3.6),(-0.1- 1),1
58,0,1,01,(-0.1- 1),(3- 3.6),(-0.1- 1),1
59,0,1,01,(-0.1- 1),(3- 3.6),(-0.1- 1),1
60,0,1,01,(-0.1- 1),(3- 3.6),(-0.1- 1),1
61,0,1,01,(-0.1- 1),(3- 3.6),(-0.1- 1),1
62,0,1,00,(-0.1- 1),(3- 3.6),(-0.1- 1),0
63,0,0,00,(-0.1- 1),(3- 3.6),(-0.1- 1),0
64,0,0,00,(-0.1- 1),(3- 3.6),(-0.1- 1),0
65,0,0,00,(-0.1- 1),(3- 3.6),(-0.1- 1),0
66,0,0,00,(-0.1- 1),(3- 3.6),(-0.1- 1),0
67,0,0,00,(-0.1- 1),(3- 3.6),(-0.1- 1),0
68,0,0,00,(-0.1- 1),(3- 3.6),(-0.1- 1),0
69,0,0,00,(-0.1- 1),(3- 3.6),(-0.1- 1),0
70,0,0,00,(-0.1- 1),(3- 3.6),(-0.1- 1),0
71,0,0,00,(-0.1- 1),(3- 3.6),(-0.1- 1),0
72,0,0,00,(-0.1- 1),(3- 3.6),(-0.1- 1),0
73,0,0,01,(-0.1- 1),(3- 3.6),(-0.1- 1),0
74,0,0,01,(-0.1- 1),(3- 3.6),(-0.1- 1),0
75,0,0,01,(-0.1- 1),(3- 3.6),(-0.1- 1),0
76,0,0,01,(-0.1- 1),(3- 3.6),(-0.1- 1),0
77,0,0,01,(-0.1- 1),(3- 3.6),(-0.1- 1),0
78,0,0,01,(-0.1- 1),(3- 3.6),(-0.1- 1),0
79,0,0,01,(-0.1- 1),(3- 3.6),(-0.1- 1),0
80,0,0,01,(3- 3.6),(3- 3.6),(11.8- 12.6),0
81,1,1,01,(-0.1- 1),(-0.1- 1),(-0.1- 1),1
82,1,1,01,(-0.1- 1),(-0.1- 1),(-0.1- 1),1
83,0,1,01,(-0.1- 1),(-0.1- 1),(-0.1- 1),1
84,0,1,01,(-0.1- 1),(-0.1- 1),(-0.1- 1),1
