State Name,UVPbitNoPage,SMBAlert,UVP0,Pok,Vmain,UVP1,readPage
OFF,0,(3- 3.6),0,(-0.1- 1),(-0.1- 1),0,00
1,0,(3- 3.6),0,(-0.1- 1),(-0.1- 1),0,00
2,0,(3- 3.6),0,(-0.1- 1),(-0.1- 1),0,01
3,0,(3- 3.6),0,(-0.1- 1),(-0.1- 1),0,01
REGAC,0,(3- 3.6),0,(-0.1- 1),(-0.1- 1),0,01
5,0,(3- 3.6),0,(-0.1- 1),(-0.1- 1),0,01
6,0,(3- 3.6),0,(-0.1- 1),(-0.1- 1),0,01
REGPSON,0,(3- 3.6),0,(-0.1- 1),(-0.1- 1),0,01
8,0,(3- 3.6),0,(-0.1- 1),(-0.1- 1),0,01
REG,0,(3- 3.6),0,(3- 3.6),(11.8- 12.6),0,01
10,1,(-0.1- 1),1,(-0.1- 1),(-0.1- 1),1,01
11,1,(-0.1- 1),1,(-0.1- 1),(-0.1- 1),1,01
12,0,(3- 3.6),1,(-0.1- 1),(-0.1- 1),0,01
13,0,(-0.1- 1),1,(-0.1- 1),(-0.1- 1),0,01
14,0,(-0.1- 1),1,(-0.1- 1),(-0.1- 1),0,01
15,0,(3- 3.6),1,(-0.1- 1),(-0.1- 1),0,01
16,0,(3- 3.6),0,(-0.1- 1),(-0.1- 1),0,01
17,0,(3- 3.6),0,(-0.1- 1),(-0.1- 1),0,01
18,0,(3- 3.6),0,(-0.1- 1),(-0.1- 1),0,01
19,0,(3- 3.6),0,(-0.1- 1),(-0.1- 1),0,01
20,0,(3- 3.6),0,(-0.1- 1),(-0.1- 1),0,01
21,0,(3- 3.6),0,(-0.1- 1),(-0.1- 1),0,01
22,0,(3- 3.6),0,(3- 3.6),(11.8- 12.6),0,01
23,1,(3- 3.6),1,(-0.1- 1),(-0.1- 1),1,01
24,1,(3- 3.6),1,(-0.1- 1),(-0.1- 1),1,01
25,1,(3- 3.6),0,(-0.1- 1),(-0.1- 1),1,01
