Transition Name,Action,Action Value,OUT,
0,page,FF,,
1,page,00,,
2,page,01,,
3,page,00,,
4,page,FF,,
5,MaskUVPbitPage01,1,,
6,page,00,,
7,page,FF,,
8,page,00,,
9,page,01,,
10,MaskUVPbitPage00,0,,
11,page,00,,
12,page,FF,,
13,MaskUVPbitPage00,1,,
14,page,01,,
15,page,00,,
16,page,FF,,
17,MaskUVPbitPage00,1,,
18,MaskUVPbitPage01,0,,
19,page,00,,
20,page,FF,,
21,page,00,,
22,MaskUVPbitPage00,1,,
23,page,01,,
24,MaskUVPbitPage01,1,,
25,MaskUVPbitPage00,1,,
26,page,01,,
27,MaskUVPbitPage01,1,,
28,page,FF,,
29,MaskUVPbitPage00,1,,
30,MaskUVPbitPage01,1,,
31,MaskUVPbitPage01,0,,
32,MaskUVPbitPage00,1,,
33,page,01,,
34,MaskUVPbitPage01,0,,
35,MaskUVPbitPage01,0,,
36,page,01,,
37,MaskUVPbitPage00,0,,
38,MaskUVPbitPage01,0,,
39,page,FF,,
40,MaskUVPbitPage00,0,,
41,MaskUVPbitPage01,0,,
42,MaskUVPbitPage00,0,,
43,MaskUVPbitPage01,1,,
44,MaskUVPbitPage00,0,,
45,page,01,,
46,MaskUVPbitPage01,1,,
47,MaskUVPbitPage00,0,,
